school,city,region,conference,division
Abilene Christian,"Abilene, Texas",Mid South,Western Athletic Conference,NCAA D1
Alabama A&M University,"North Normal, Alabama",South East,Southwestern Athletic Conference,NCAA D1
Alabama State,"Montgomery, Alabama",South East,Southwestern Athletic Conference,NCAA D1
Alcorn State,"Lorman, Mississippi",Mid South,Southwestern Athletic Conference,NCAA D1
American University,"Washington, District Of Columbia",North East,Patriot League,NCAA D1
Appalachian State,"Boone, North Carolina",Mid East,Sun Belt Conference,NCAA D1
Arizona State,"Tempe, Arizona",South West,PAC-12 Conference,NCAA D1
Arkansas State,"Jonesboro, Arkansas",Mid South,Sun Belt Conference,NCAA D1
Auburn,"Auburn, Alabama",South East,Southeastern Conference,NCAA D1
Austin Peay State University,"Clarksville, Tennessee",Mid East,Ohio Valley Conference,NCAA D1
Ball State University,"Muncie, Indiana",Great Lakes,Mid-American Conference,NCAA D1
Baylor,"Waco, Texas",Mid South,Big 12 Conference,NCAA D1
Bellarmine,"Louisville, Kentucky",Mid East,ASUN Conference,NCAA D1
Belmont,"Nashville, Tennessee",Mid East,Ohio Valley Conference,NCAA D1
Bethune-Cookman,"Daytona Beach, Florida",South East,Southwestern Athletic Conference,NCAA D1
Boise State,"Boise, Idaho",North West,Mountain West Conference,NCAA D1
Boston College,"Chestnut Hill, Massachusetts",New England,Atlantic Coast Conference,NCAA D1
Boston University,"Boston, Massachusetts",New England,Patriot League,NCAA D1
Bowling Green,"Bowling Green, Ohio",Great Lakes,Mid-American Conference,NCAA D1
Bradley,"Peoria, Illinois",Great Lakes,Missouri Valley Conference,NCAA D1
BYU,"Provo, Utah",South West,West Coast Conference,NCAA D1
Brown,"Providence, Rhode Island",New England,Ivy League,NCAA D1
Bryant,"Smithfield, Rhode Island",New England,Northeast Conference,NCAA D1
Bucknell,"Lewisburg, Pennsylvania",North East,Patriot League,NCAA D1
Butler,"Indianapolis, Indiana",Great Lakes,Big East Conference,NCAA D1
California Baptist,"Riverside, California",West Coast,Western Athletic Conference,NCAA D1
CAL POLY,"San Luis Obispo, California",West Coast,Big West Conference,NCAA D1
California State – Bakersfield,"Bakersfield, California",West Coast,Big West Conference,NCAA D1
FRESNO STATE,"Fresno, California",West Coast,Mountain West Conference,NCAA D1
CAL STATE FULLERTON,"Fullerton, California",West Coast,Big West Conference,NCAA D1
CAL STATE LONG BEACH,"Long Beach, California",West Coast,Big West Conference,NCAA D1
California State – Northridge,"Northridge, California",West Coast,Big West Conference,NCAA D1
California State – Sacramento,"Sacramento, California",West Coast,Big Sky Conference,NCAA D1
Campbell,"Buies Creek, North Carolina",Mid East,Big South Conference,NCAA D1
Canisius College,"Buffalo, New York",North East,Metro Atlantic Athletic Conference,NCAA D1
Central Connecticut State University,"New Britain, Connecticut",New England,Northeast Conference,NCAA D1
Central Michigan University,"Mount Pleasant, Michigan",Great Lakes,Mid-American Conference,NCAA D1
Charleston Southern,"Charleston, South Carolina",South East,Big South Conference,NCAA D1
Chicago State,"Chicago, Illinois",Great Lakes,Western Athletic Conference,NCAA D1
Clemson,"Clemson, South Carolina",South East,Atlantic Coast Conference,NCAA D1
Cleveland State University,"Cleveland, Ohio",Great Lakes,Horizon League,NCAA D1
Coastal Carolina,"Conway, South Carolina",South East,Sun Belt Conference,NCAA D1
Colgate,"Hamilton, New York",North East,Patriot League,NCAA D1
College of Charleston,"Charleston, South Carolina",South East,Colonial Athletic Association,NCAA D1
