id,height,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,PER,FTr,PTSper100,FGAper100,FT%,2P%,3P%,3FGA%,Avg Dist,0-3ft FGA%,3-10ft FGA%,10-16ft FGA%,16-3P,% of Ast 2s,% of Ast 3s,% Corner 3s,cluster,player type
MAHMOUD ABDUL-RAUF2000-2001,-0.375,-0.896551724,-0.867724868,0.141361257,-0.661016949,-0.98540146,-0.681260946,0.215789474,0.143617021,-0.842666667,0.152173913,0.481707317,0.518,0.114827202,-0.428,-0.886178862,0.404081633,-0.944,-0.865937073,-0.357142857,0.775223499,0.086,0,-0.985913215,9,Floor General
TARIQ ABDUL-WAHAD2000-2001,0.03125,-0.689655172,-0.492063492,-0.717277487,-0.423728814,-0.693430657,-0.260945709,-0.294736842,-0.436170213,-0.568,-0.5,-0.298780488,0.166,-0.1393534,-0.2,-0.81981982,-0.110204082,-0.424,-0.532147743,-0.492481203,-0.195402299,0.282,1,-0.937184384,3,Role player
TARIQ ABDUL-WAHAD2001-2002,0.03125,-0.129310345,-0.502645503,-0.692844677,-0.186440678,-0.751824818,-0.499124343,-0.189473684,-0.223404255,-0.701333333,-0.391304348,-0.054878049,0.454,-0.170568562,0,-0.972789116,-0.379591837,-0.21,-0.403556772,-0.515037594,-0.374201788,0.334,1,-1,1,Skilled Big
TARIQ ABDUL-WAHAD2002-2003,0.03125,-0.344827586,-0.375661376,-0.462478185,-0.491525424,-0.839416058,-0.639229422,-0.405263158,-0.085106383,-0.862666667,-0.465217391,-0.237804878,0,0.056856187,-1,-0.965517241,-0.355102041,-0.104,-0.668946648,-0.157894737,-0.514687101,0.704,-1,-1,5,Traditional Center
SHAREEF ABDUR-RAHIM2000-2001,0.28125,-0.465517241,-0.079365079,-0.5008726,-0.491525424,-0.766423358,-0.53765324,0.1,0.271276596,-0.446666667,0.073913043,0.12804878,0.668,0.085841695,-0.624,-0.9,-0.216326531,-0.44,-0.253077975,-0.518796992,-0.310344828,0.344,0.834,-0.929228786,1,Skilled Big
SHAREEF ABDUR-RAHIM2001-2002,0.28125,-0.344827586,-0.100529101,-0.472949389,-0.423728814,-0.708029197,-0.506129597,0.226315789,0.308510638,-0.462666667,0.152173913,0.25,0.602,0.04793757,-0.4,-0.892058597,-0.33877551,-0.306,-0.258549932,-0.5,-0.49936143,0.002,1,-0.938096591,7,Skilled Forward
SHAREEF ABDUR-RAHIM2002-2003,0.28125,-0.422413793,-0.174603175,-0.486910995,-0.491525424,-0.868613139,-0.544658494,0.078947368,0.313829787,-0.390666667,0.1,0.097560976,0.682,0.081382386,-0.3,-0.898562975,-0.306122449,-0.366,-0.255813953,-0.477443609,-0.43550447,0.076,1,-0.961630438,7,Skilled Forward
SHAREEF ABDUR-RAHIM2003-2004,0.28125,-0.293103448,-0.111111111,-0.570680628,-0.525423729,-0.854014599,-0.548161121,0.089473684,0.313829787,-0.457333333,0.104347826,0.146341463,0.738,0.074693423,-0.47,-0.935483871,-0.404081633,-0.286,-0.127222982,-0.563909774,-0.550446999,0.078,0.778,-0.976833196,1,Skilled Big
SHAREEF ABDUR-RAHIM2004-2005,0.28125,-0.318965517,-0.26984127,-0.626527051,-0.525423729,-0.854014599,-0.544658494,-0.031578947,0.25,-0.494666667,0.034782609,0.036585366,0.732,0.137123746,-0.23,-0.88358209,-0.379591837,-0.206,-0.313269494,-0.620300752,-0.507024266,0.242,1,-0.937496962,7,Skilled Forward
SHAREEF ABDUR-RAHIM2005-2006,0.28125,-0.448275862,-0.333333333,-0.539267016,-0.559322034,-0.766423358,-0.562171629,-0.136842105,0.170212766,-0.413333333,-0.069565217,-0.109756098,0.568,0.19509476,-0.546,-0.930379747,-0.395918367,-0.216,-0.206566347,-0.733082707,-0.458492976,0.07,1,-0.977912956,1,Skilled Big
SHAREEF ABDUR-RAHIM2006-2007,0.28125,-0.396551724,-0.248677249,-0.678883072,-0.559322034,-0.781021898,-0.534150613,-0.168421053,-0.04787234,-0.522666667,-0.230434783,-0.134146341,0.452,0.079152731,-0.7,-0.93883792,-0.404081633,-0.238,-0.168262654,-0.770676692,-0.430395913,0.082,1,-0.957354536,1,Skilled Big
CORY ALEXANDER2000-2001,-0.375,-1,-0.455026455,-0.179755672,0.220338983,-1,-0.015761821,-0.284210526,-0.409574468,-0.572,-0.582608696,-0.359756098,0.334,-0.219620959,-0.5,-0.428571429,0.330612245,-0.678,-0.805745554,-0.462406015,-0.134099617,-0.428,1,-0.875490475,3,Role player
CORY ALEXANDER2004-2005,-0.375,-0.629310345,-0.44973545,-0.033158813,-0.220338983,-0.941605839,-0.092819615,-0.342105263,-0.276595745,-0.673333333,-0.543478261,-0.359756098,0.5,-0.404682274,-0.158,-0.224489796,0.297959184,-0.592,-0.887824897,-0.387218045,-0.478927203,-0.5,1,-0.928353662,3,Role player
COURTNEY ALEXANDER2000-2001,-0.03125,-0.698275862,-0.671957672,-0.720767888,-0.423728814,-0.95620438,-0.632224168,0.026315789,-0.127659574,-0.650666667,-0.091304348,0.170731707,0.64,-0.061315496,-0.26,-0.839441536,0.069387755,-0.64,-0.679890561,-0.127819549,-0.001277139,0.162,0.176,-0.951301783,9,Floor General
COURTNEY ALEXANDER2001-2002,-0.03125,-0.681034483,-0.624338624,-0.605584642,-0.525423729,-0.941605839,-0.642732049,-0.121052632,-0.021276596,-0.66,-0.117391304,0.048780488,0.62,0.065774805,-0.444,-0.924050633,-0.012244898,-0.62,-0.65253078,0.045112782,-0.062579821,0.284,0.6,-0.970609448,1,Skilled Big
COURTNEY ALEXANDER2002-2003,-0.03125,-0.715517241,-0.756613757,-0.657940663,-0.593220339,-0.95620438,-0.625218914,-0.073684211,-0.25,-0.614666667,-0.195652174,0.079268293,0.616,-0.134894091,-0.334,-0.774257426,0.028571429,-0.5,-0.879616963,-0.120300752,-0.08045977,0.494,1,-0.841026239,7,Skilled Forward
RAY ALLEN2000-2001,-0.03125,-0.681034483,-0.492063492,-0.287958115,-0.288135593,-0.927007299,-0.576182137,0.089473684,0.473404255,-0.601333333,0.213043478,0.195121951,0.776,0.128205128,-0.134,-0.286478228,0.159183673,-0.53,-0.764705882,-0.312030075,-0.642401022,-0.126,0.712,-0.66418383,6,Ball Dominant Scorer
RAY ALLEN2001-2002,-0.03125,-0.663793103,-0.582010582,-0.322862129,-0.355932203,-0.927007299,-0.607705779,0.184210526,0.404255319,-0.716,0.282608696,0.341463415,0.746,0.081382386,-0.132,-0.080139373,0.33877551,-0.666,-0.756497948,-0.338345865,-0.724137931,-0.102,0.538,-0.599140067,6,Ball Dominant Scorer
RAY ALLEN2002-2003,-0.03125,-0.672413793,-0.492063492,-0.246073298,-0.355932203,-0.941605839,-0.593695271,0.268421053,0.388297872,-0.662666667,0.291304348,0.414634146,0.832,0.065774805,-0.246,-0.217901687,0.240816327,-0.67,-0.65253078,-0.304511278,-0.662835249,-0.346,0.592,-0.670081002,6,Ball Dominant Scorer
RAY ALLEN2003-2004,-0.03125,-0.672413793,-0.492063492,-0.186736475,-0.389830508,-0.941605839,-0.576182137,0.268421053,0.409574468,-0.645333333,0.291304348,0.402439024,0.808,0.043478261,-0.216,-0.256637168,0.208163265,-0.638,-0.622435021,-0.45112782,-0.58109834,-0.258,0.594,-0.708449379,6,Ball Dominant Scorer
