Player_Upper,id,year,VORP,Min,league,flag,lockout
A.J. GUYTON,A.J. GUYTON2000-2001,2000-2001,-0.3,630,NBA,0,0
A.J. GUYTON,A.J. GUYTON2001-2002,2001-2002,0.1,607,NBA,0,0
A.J. GUYTON,A.J. GUYTON2003-2004,2003-2004,-0.039505278,199,Euroleague,0,0
A.J. GUYTON,A.J. GUYTON2003-2004,2003-2004,0.559864323,425,EUR,0,0
A.J. GUYTON,A.J. GUYTON2005-2006,2005-2006,-0.981173797,800,EUR,0,0
AARON HARRISON,AARON HARRISON2017-2018,2017-2018,-0.3,233,NBA,0,0
AARON HARRISON,AARON HARRISON2018-2019,2018-2019,4.965950559,1023.4,EUR,0,0
AARON HARRISON,AARON HARRISON2019-2020,2019-2020,5.015672027,637.1,EUR,0,0
AARON HARRISON,AARON HARRISON2020-2021,2020-2021,-0.644341402,473,Euroleague,0,0
AARON HARRISON,AARON HARRISON2021-2022,2021-2022,0.474680345,338.1,EUR,0,0
ACIE LAW,ACIE LAW2007-2008,2007-2008,-0.7,865,NBA,0,0
ACIE LAW,ACIE LAW2008-2009,2008-2009,-0.1,560,NBA,0,0
ACIE LAW,ACIE LAW2009-2010,2009-2010,0.1,234,NBA,0,0
ACIE LAW,ACIE LAW2010-2011,2010-2011,-0.4,726,NBA,0,0
ACIE LAW,ACIE LAW2011-2012,2011-2012,-0.872217717,1038,Euroleague,0,0
ACIE LAW,ACIE LAW2011-2012,2011-2012,0.74361942,584.7,EUR,0,0
ACIE LAW,ACIE LAW2012-2013,2012-2013,0.433617682,686,Euroleague,0,0
ACIE LAW,ACIE LAW2012-2013,2012-2013,2.599376652,521.2,EUR,0,0
ACIE LAW,ACIE LAW2013-2014,2013-2014,-0.444072072,159,Euroleague,0,0
ACIE LAW,ACIE LAW2013-2014,2013-2014,0.879868311,152.9,EUR,0,0
ADAM MORRISON,ADAM MORRISON2006-2007,2006-2007,-1.8,2326,NBA,0,0
ADAM MORRISON,ADAM MORRISON2008-2009,2008-2009,-0.5,711,NBA,0,0
ADAM MORRISON,ADAM MORRISON2009-2010,2009-2010,-0.2,241,NBA,0,0
ADAM MORRISON,ADAM MORRISON2011-2012,2011-2012,0.342394811,409.4,EUR,0,0
ADREIAN PAYNE,ADREIAN PAYNE2014-2015,2014-2015,-0.9,739,NBA,0,0
ADREIAN PAYNE,ADREIAN PAYNE2015-2016,2015-2016,-0.5,486,NBA,0,0
ADREIAN PAYNE,ADREIAN PAYNE2018-2019,2018-2019,1.029625847,384,EUR,0,0
ADREIAN PAYNE,ADREIAN PAYNE2019-2020,2019-2020,1.708696595,254,EUR,0,0
ADREIAN PAYNE,ADREIAN PAYNE2019-2020,2019-2020,1.539972919,237,Euroleague,0,0
ALAN ANDERSON,ALAN ANDERSON2005-2006,2005-2006,-0.2,564,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2006-2007,2006-2007,-0.2,256,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2007-2008,2007-2008,1.975779831,844,EUR,0,0
ALAN ANDERSON,ALAN ANDERSON2007-2008,2007-2008,-0.9069826,232,Euroleague,0,0
ALAN ANDERSON,ALAN ANDERSON2008-2009,2008-2009,0.471580355,251,Euroleague,0,0
ALAN ANDERSON,ALAN ANDERSON2009-2010,2009-2010,1.096479447,568,Euroleague,0,0
ALAN ANDERSON,ALAN ANDERSON2010-2011,2010-2011,1.034664915,272,Euroleague,0,0
ALAN ANDERSON,ALAN ANDERSON2010-2011,2010-2011,0.35163285,712.8,EUR,0,0
ALAN ANDERSON,ALAN ANDERSON2011-2012,2011-2012,-0.1,461,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2012-2013,2012-2013,0.1,1495,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2013-2014,2013-2014,-0.4,1773,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2014-2015,2014-2015,0.2,1744,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2015-2016,2015-2016,0,192,NBA,0,0
ALAN ANDERSON,ALAN ANDERSON2016-2017,2016-2017,-0.3,308,NBA,0,0
ALAN WILLIAMS,ALAN WILLIAMS2016-2017,2016-2017,0.1,708,NBA,0,0
ALAN WILLIAMS,ALAN WILLIAMS2019-2020,2019-2020,2.69394767,460.4,EUR,0,0
ALAN WILLIAMS,ALAN WILLIAMS2020-2021,2020-2021,1.569090256,239.5,EUR,0,0
ALANDO TUCKER,ALANDO TUCKER2008-2009,2008-2009,-0.2,282,NBA,0,0
ALANDO TUCKER,ALANDO TUCKER2014-2015,2014-2015,0.412610887,467,EUR,0,0
ALANDO TUCKER,ALANDO TUCKER2015-2016,2015-2016,-0.271557032,152,EUR,0,0
ALEC PETERS,ALEC PETERS2017-2018,2017-2018,0,225,NBA,0,0
ALEC PETERS,ALEC PETERS2018-2019,2018-2019,0.94517566,586,Euroleague,0,0
ALEC PETERS,ALEC PETERS2018-2019,2018-2019,0.634965277,310.3,EUR,0,0
ALEC PETERS,ALEC PETERS2019-2020,2019-2020,1.027305801,370,Euroleague,0,0
ALEC PETERS,ALEC PETERS2019-2020,2019-2020,1.28618034,254.8,EUR,0,0
ALEC PETERS,ALEC PETERS2020-2021,2020-2021,1.831789894,785.7,EUR,0,0
ALEC PETERS,ALEC PETERS2020-2021,2020-2021,3.503188326,775,Euroleague,0,0
ALEC PETERS,ALEC PETERS2021-2022,2021-2022,0.876633647,286,Euroleague,0,0
ALEC PETERS,ALEC PETERS2021-2022,2021-2022,1.902408386,608.9,EUR,0,0
ALEX ABRINES,ALEX ABRINES2011-2012,2011-2012,-0.245782756,294.6,EUR,0,0
ALEX ABRINES,ALEX ABRINES2012-2013,2012-2013,-0.035401525,347.8,EUR,0,0
ALEX ABRINES,ALEX ABRINES2012-2013,2012-2013,0.689447007,169,Euroleague,0,0
ALEX ABRINES,ALEX ABRINES2013-2014,2013-2014,0.829064353,465,Euroleague,0,0
ALEX ABRINES,ALEX ABRINES2013-2014,2013-2014,2.332508604,748.3,EUR,0,0
ALEX ABRINES,ALEX ABRINES2014-2015,2014-2015,3.103591599,656.4,EUR,0,0
ALEX ABRINES,ALEX ABRINES2014-2015,2014-2015,1.804994065,417,Euroleague,0,0
ALEX ABRINES,ALEX ABRINES2015-2016,2015-2016,,481,Euroleague,0,0
ALEX ABRINES,ALEX ABRINES2015-2016,2015-2016,3.022256713,720.1,EUR,0,0
ALEX ABRINES,ALEX ABRINES2016-2017,2016-2017,0.1,1055,NBA,0,0
ALEX ABRINES,ALEX ABRINES2017-2018,2017-2018,0.1,1134,NBA,0,0
ALEX ABRINES,ALEX ABRINES2018-2019,2018-2019,-0.2,588,NBA,0,0
ALEX ABRINES,ALEX ABRINES2019-2020,2019-2020,0.872609411,507,EUR,0,0
ALEX ABRINES,ALEX ABRINES2019-2020,2019-2020,1.453785153,370,Euroleague,0,0
ALEX ABRINES,ALEX ABRINES2020-2021,2020-2021,3.46065781,765.7,EUR,0,0
ALEX ABRINES,ALEX ABRINES2020-2021,2020-2021,1.994613844,729,Euroleague,0,0
